Pfam keyword	Pfam term
DUF3344	Protein of unknown function (DUF3344)
DUF3613	Protein of unknown function (DUF3613)
DUF3346	Protein of unknown function (DUF3346)
DUF3347	Protein of unknown function (DUF3347)
DUF3340	C-terminal domain of tail specific protease (DUF3340)
DUF3341	Protein of unknown function (DUF3341)
DUF3342	Domain of unknown function (DUF3342)
DUF3343	Protein of unknown function (DUF3343)
DUF4349	Domain of unknown function (DUF4349)
DUF4348	Domain of unknown function (DUF4348)
YokU	YokU-like protein
DUF4341	Domain of unknown function (DUF4341)
DUF4340	Domain of unknown function (DUF4340)
DUF4343	Domain of unknown function (DUF4343)
DUF4342	Domain of unknown function (DUF4342)
DUF4345	Domain of unknown function (DUF4345)
DUF4344	Domain of unknown function (DUF4344)
DUF4347	Domain of unknown function (DUF4347)
DUF4346	Domain of unknown function (DUF4346)
DUF2969	Protein of unknown function (DUF2969)
DUF2968	Protein of unknown function (DUF2968)
DUF2963	Protein of unknown function (DUF2963)
DUF2962	Protein of unknown function (DUF2962)
DUF2961	Protein of unknown function (DUF2961)
DUF2960	Protein of unknown function (DUF2960)
DUF2967	Protein of unknown function (DUF2967)
DUF2964	Protein of unknown function (DUF2964)
Stn1	Telomere regulation protein Stn1|Telomere capping C-terminal wHTH
CinA	Competence-damaged protein
NPR2	Nitrogen permease regulator 2
NPR3	Nitrogen Permease regulator of amino acid transport activity 3
VID27	VID27 cytoplasmic protein
OmdA	Bacteriocin-protection, YdeI or OmpD-Associated
GutM	Glucitol operon activator protein (GutM)
GTF2I	GTF2I-like repeat
WGG	Pre-rRNA-processing protein TSR2
DUF1119	Protein of unknown function (DUF1119)
DUF1118	Protein of unknown function (DUF1118)
DUF1117	Protein of unknown function (DUF1117)
DUF1116	Protein of unknown function (DUF1116)
DUF1115	Protein of unknown function (DUF1115)
DUF1113	Protein of unknown function (DUF1113)
DUF1111	Protein of unknown function (DUF1111)
DUF1110	Protein of unknown function (DUF1110)
AzlC	AzlC protein
AzlD	Branched-chain amino acid transport protein (AzlD)
OpgC	OpgC protein
PBD	P21-Rho-binding domain
BiPBP	Penicillin-Binding Protein C-terminus Family
XylR	Activator of aromatic catabolism
HgmA	homogentisate 1,2-dioxygenase
AXE1	Acetyl xylan esterase (AXE1)
TH1	TH1 protein
UreF	UreF
NuA4	Histone acetyltransferase subunit NuA4
UreE	UreE urease accessory protein, C-terminal domain|UreE urease accessory protein, N-terminal domain
XFP	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase|XFP C-terminal domain|XFP N-terminal domain
DUF399	Protein of unknown function, DUF399
L31	Mitochondrial ribosomal protein L31
DUF390	Protein of unknown function (DUF390)
DUF393	Protein of unknown function, DUF393
OSCP	ATP synthase delta (OSCP) subunit
DUF397	Domain of unknown function (DUF397)
TSC22	TSC-22/dip/bun family
NARG2	NMDA receptor-regulated gene protein 2
GCR1	Transcriptional activator of glycolytic enzymes
DUF643	Protein of unknown function (DUF643)
DUF642	Protein of unknown function, DUF642
DUF641	Plant protein of unknown function (DUF641)
DUF640	Protein of unknown function (DUF640)
DUF647	Protein of unknown function (DUF647)
DUF646	Bacteriophage protein of unknown function (DUF646)
DUF645	Protein of unknown function, DUF645
VPR	VPR/VPX protein
Paf67	RNA polymerase I-associated factor PAF67
DUF648	Family of unknown function (DUF648) 
CRF1	Transcription factor CRF1
RhaA	L-rhamnose isomerase (RhaA)
VP7	Glycoprotein VP7
VP9	VP9 protein
TOM13	Outer membrane protein TOM13
Nckap1	Membrane-associated apoptosis protein
Erv26	Transmembrane adaptor Erv26
YndJ	YndJ-like protein
BRICHOS	BRICHOS domain
Fig1	Ca2+ regulator and membrane fusion protein Fig1
CcdA	Post-segregation antitoxin CcdA
MEKHLA	MEKHLA domain
HR1	Hr1 repeat
DUF2202	Uncharacterized protein domain (DUF2202)
DUF2203	Uncharacterized conserved protein (DUF2203)
DUF2200	Uncharacterized protein conserved in bacteria (DUF2200)
DUF2201	VWA-like domain (DUF2201)|Putative metallopeptidase domain
DUF2206	Predicted membrane protein (DUF2206)
DUF2207	Predicted membrane protein (DUF2207)
DUF2204	Nucleotidyl transferase of unknown function (DUF2204)
DUF2757	Protein of unknown function (DUF2757)
DUF2758	Protein of unknown function (DUF2758)
DUF2759	Protein of unknown function (DUF2759)
DUF2208	Predicted membrane protein (DUF2208)
DUF2209	Uncharacterized protein conserved in archaea (DUF2209)
AroM	AroM protein
MYT1	Myelin transcription factor 1
DUF3151	Protein of unknown function (DUF3151)
DUF3150	Protein of unknown function (DUF3150)
DUF3153	Protein of unknown function (DUF3153)
DUF3152	Protein of unknown function (DUF3152)
DUF3155	Protein of unknown function (DUF3155)
DUF3154	Protein of unknown function (DUF3154)
DUF3157	Protein of unknown function (DUF3157)
DUF3156	Protein of unknown function (DUF3156)
DUF3159	Protein of unknown function (DUF3159)
DUF3158	Protein of unknown function (DUF3158)
DUF3405	Protein of unknown function (DUF3405)
DUF3404	Domain of unknown function (DUF3404)
DUF3403	Domain of unknown function (DUF3403)
DUF3402	Domain of unknown function (DUF3402)
DUF3401	Domain of unknown function (DUF3401)
DUF3400	Domain of unknown function (DUF3400)
HRM	Hormone receptor domain
UPF0240	Uncharacterised protein family (UPF0240)
TPT	Triose-phosphate Transporter family
NMT1	NMT1/THI5 like
HRD	Hpc2-related domain
UpxZ	UpxZ family of transcription anti-terminator antagonists
BCCT	BCCT family transporter
P53	P53 DNA-binding domain|Transcription factor P53 - C terminal domain
SYF2	SYF2 splicing factor
DUF2605	Protein of unknown function (DUF2605)
DUF2753	Protein of unknown function (DUF2753)
ENT	ENT domain
DUF1856	Domain of unknown function (DUF1856)
DUF1857	Domain of unknown function (DUF1857)
DUF1854	Domain of unknown function (DUF1854)
HVSL	Uncharacterised conserved protein
DUF1852	Domain of unknown function (DUF1852)
DUF1853	Domain of unknown function (DUF1853)
DUF1850	Domain of unknown function (DUF1850)
DUF1851	Domain of unknown function (DUF1851)
YscO	Type III secretion protein YscO
DUF1858	Domain of unknown function (DUF1858)
DUF1859	Domain of unknown function (DUF1859)
YscW	Type III secretion system lipoprotein chaperone (YscW)
DUF2608	Protein of unknown function (DUF2608)
TnpV	Transposon-encoded protein TnpV
TnpW	Transposon-encoded protein TnpW
FliE	Flagellar hook-basal body complex protein FliE
DUF1580	Protein of unknown function (DUF1580)
DUF1581	Protein of unknown function (DUF1581)
DUF1582	Protein of unknown function (DUF1582)
DUF1583	Protein of unknown function (DUF1583)
SASP	Small, acid-soluble spore proteins, alpha/beta type
DUF1586	Protein of unknown function (DUF1586)
SEP	SEP domain
DUF1589	Protein of unknown function (DUF1589)
Rac1	Rac1-binding domain
YlaH	YlaH-like protein
SEA	SEA domain
YlaC	sigma70 family sigma factor YlaC
NfeD	NfeD-like C-terminal, partner-binding
IMD	IRSp53/MIM homology domain
CReP	eIF2-alpha phosphatase phosphorylation constitutive repressor
PDT	Prephenate dehydratase
IMS	impB/mucB/samB family|impB/mucB/samB family C-terminal
AHS1	Allophanate hydrolase subunit 1
PDH	Prephenate dehydrogenase
CLU	Clustered mitochondria
FumaraseC	Fumarase C C-terminus
YcfA	YcfA-like protein
VOMI	Vitelline membrane outer layer protein I (VOMI) 
Cul7	Mouse development and cellular proliferation protein Cullin-7
RibD	RibD C-terminal domain
HrpB4	Bacterial type III secretion protein (HrpB4)
HrpB7	Bacterial type III secretion protein (HrpB7)
BPL	Biotin protein ligase C terminal domain|Biotin-protein ligase, N terminal
GSDH	Glucose / Sorbosone dehydrogenase
HrpB2	Bacterial type III secretion protein (HrpB2)
DUF1324	Protein of unknown function (DUF1324)
DUF881	Bacterial protein of unknown function (DUF881)
DUF1326	Protein of unknown function (DUF1326)
DUF1327	Protein of unknown function (DUF1327)
DUF1320	Protein of unknown function (DUF1320)
DUF2045	Uncharacterized conserved protein (DUF2045)
DUF1322	Protein of unknown function (DUF1322)
DUF1323	Putative transcription regulator (DUF1323)
DUF1328	Protein of unknown function (DUF1328)
DUF1329	Protein of unknown function (DUF1329)
STE2	Fungal pheromone mating factor STE2 GPCR
STE3	Pheromone A receptor
DUF2862	Protein of unknown function (DUF2862)
DUF884	Nucleopolyhedrovirus protein of unknown function (DUF884)
OpuAC	Substrate binding domain of ABC-type glycine betaine transport system
DUF4145	Domain of unknown function (DUF4145)
GON	GON domain
UPF0139	Uncharacterised protein family (UPF0139)
CdhC	CO dehydrogenase/acetyl-CoA synthase complex beta subunit
CdhD	CO dehydrogenase/acetyl-CoA synthase delta subunit
BC10	Bladder cancer-related protein BC10
DUF2469	Protein of unknown function (DUF2469)
FeoB	Ferrous iron transport protein B C terminus|Ferrous iron transport protein B
FeoC	FeoC like transcriptional regulator
FeoA	FeoA domain
ANTAR	ANTAR domain
SH3BGR	SH3-binding, glutamic acid-rich protein
PPP4R2	PPP4R2
CWC25	Pre-mRNA splicing factor
FlpD	Methyl-viologen-reducing hydrogenase, delta subunit
DUF1574	Protein of unknown function (DUF1574)
RskA	Anti-sigma-K factor rskA
DUF959	Domain of Unknown Function (DUF959) 
ARID	ARID/BRIGHT DNA binding domain
YqzH	YqzH-like protein
YqzL	YqzL-like protein
YqzM	YqzM-like protein
YqzE	YqzE-like protein
YcaO	YcaO-like family
PINIT	PINIT domain
GldM	GldM C-terminal domain|GldM N-terminal domain
DUF3366	Domain of unknown function (DUF3366)
DUF3367	Domain of unknown function (DUF3367)
DUF3364	Domain of unknown function (DUF3364)
DUF3365	Protein of unknown function (DUF3365)
DUF3362	Domain of unknown function (DUF3362)
DUF3363	Protein of unknown function (DUF3363)
DUF3360	Protein of unknown function (DUF3360)
DUF3361	Domain of unknown function (DUF3361)
DSRB	Dextransucrase DSRB
Sen15	Sen15 protein
DUF3368	Domain of unknown function (DUF3368)
DUF3369	Domain of unknown function (DUF3369)
LXG	LXG domain of WXG superfamily
MBOAT	MBOAT, membrane-bound O-acyltransferase family
SURF6	Surfeit locus protein 6
DUF2417	Region of unknown function (DUF2417)
DUF2944	Protein of unknown function (DUF2946)
DUF2415	Uncharacterised protein domain (DUF2415)
DUF2946	Protein of unknown function (DUF2946)
DUF2413	Protein of unknown function (DUF2413)
DUF2411	Domain of unknown function (DUF2411)
DUF2410	Hypothetical protein (DUF2410)
DUF927	Domain of unknown function (DUF927)
DUF924	Bacterial protein of unknown function (DUF924)
DUF925	Bacterial protein of unknown function (DUF925)
DUF2949	Protein of unknown function (DUF2949)
DUF2948	Protein of unknown function (DUF2948)
DUF2419	Protein of unknown function (DUF2419)
DUF2418	Protein of unknown function (DUF2418)
DUF3090	Protein of unknown function (DUF3090)
DUF3091	Protein of unknown function (DUF3091)
DUF3092	Protein of unknown function (DUF3092)
DUF3093	Protein of unknown function (DUF3093)
DUF3094	Protein of unknown function (DUF3094)
DUF3095	Protein of unknown function (DUF3095)
FmrO	Ribosomal RNA methyltransferase (FmrO)
DUF3097	Protein of unknown function (DUF3097)
DUF3098	Protein of unknown function (DUF3098)
DUF3099	Protein of unknown function (DUF3099)
EFP	Elongation factor P (EF-P) OB domain|Elongation factor P (EF-P) KOW-like domain
Cnd3	Nuclear condensing complex subunits, C-term domain
Cnd2	Condensin complex subunit 2
Cnd1	non-SMC mitotic condensation complex subunit 1|non-SMC mitotic condensation complex subunit 1, N-term
NPP1	Necrosis inducing protein (NPP1)
PduL	Propanediol utilisation protein PduL
Pho86	Inorganic phosphate transporter Pho86
Pho88	Phosphate transport (Pho88)
DUF3898	Domain of unknown function (DUF3898)
DUF3899	Domain of unknown function (DUF3899)
SmpB	SmpB protein
Oscp1	Organic solute transport protein 1
DUF3890	Domain of unknown function (DUF3890)
DUF3891	Protein of unknown function (DUF3891)
DUF3892	Protein of unknown function (DUF3892)
DUF3893	Domain of unknown function (DUF3893)
DUF3894	Protein of unknown function (DUF3894)
DUF3895	Protein of unknown function (DUF3895)
DUF3896	Protein of unknown function (DUF3896)
DUF3897	Protein of unknown function (DUF3897)
DUF4323	Domain of unknown function (DUF4323)
DUF4322	Domain of unknown function (DUF4322)
DUF4321	Domain of unknown function (DUF4321)
DUF4320	Domain of unknown function (DUF4320)
DUF4327	Domain of unknown function (DUF4327)
DUF4326	Domain of unknown function (DUF4326)
DUF4325	Domain of unknown function (DUF4325)
DUF4324	Domain of unknown function (DUF4324)
DUF4329	Domain of unknown function (DUF4329)
DUF4328	Domain of unknown function (DUF4328)
DltD	DltD C-terminal region|DltD N-terminal region
YvrJ	YvrJ protein family
FIST	FIST N domain|FIST C domain
YbfN	YbfN-like lipoprotein
HARP	HepA-related protein (HARP)
SRPRB	Signal recognition particle receptor beta subunit
SNAP50	snRNA-activating protein of 50kDa MW C terminal
NotI	Restriction endonuclease NotI
DUF1139	Protein of unknown function (DUF1139)
DUF1138	Protein of unknown function (DUF1138)
Not1	CCR4-Not complex component, Not1
Not3	Not1 N-terminal domain, CCR4-Not complex component 
DUF1131	Protein of unknown function (DUF1131)
DUF1133	Protein of unknown function (DUF1133)
DUF1132	Protein of unknown function (DUF1132)
DUF1134	Protein of unknown function (DUF1134)
DUF1137	Protein of unknown function (DUF1137)
DUF1136	Repeat of unknown function (DUF1136)
WAP	WAP-type (Whey Acidic Protein) 'four-disulfide core'
NlpE	NlpE N-terminal domain
Pet20	Mitochondrial protein Pet20
Stonin2	Stonin 2
Nup153	Nucleoporin Nup153-like
Isy1	Isy1-like splicing family
GlyL	dsDNA virus glycoprotein L C terminal 
IQ	IQ calmodulin-binding motif
DUF2205	Predicted coiled-coil protein (DUF2205)
DDDD	Putative mitochondrial precursor protein
YiaAB	yiaA/B two helix domain
NmrA	NmrA-like family
DUF150	Uncharacterised BCR, YhbC family COG0779
YwiC	YwiC-like protein
RPW8	Arabidopsis broad-spectrum mildew resistance protein RPW8
Tcp11	T-complex protein 11
Tcp10	T-complex protein 10 C-terminus
NDUFB10	NADH-ubiquinone oxidoreductase subunit 10
RhgB	Rhamnogalacturonase B, N-terminal
PMEI	Plant invertase/pectin methylesterase inhibitor
CbiX	CbiX
CbiZ	Adenosylcobinamide amidohydrolase
CamS	CamS sex pheromone cAM373 precursor
CbiQ	Cobalt transport protein
CbiM	Cobalt uptake substrate-specific transmembrane region
CbiN	Cobalt transport protein component CbiN
CbiJ	Precorrin-6x reductase CbiJ/CobK
CbiK	Cobalt chelatase (CbiK)
CbiD	CbiD
CbiG	Cobalamin synthesis G C-terminus|Cobalamin synthesis G N-terminal
CbiA	CobQ/CobB/MinD/ParA nucleotide binding domain
CbiC	Precorrin-8X methylmutase
BCAS3	Breast carcinoma amplified sequence 3 
DUF2778	Protein of unknown function (DUF2778)
DUF2779	Domain of unknown function(DUF2779)
Est3	Telomerase holoenzyme, Est3 subunit
DUF2772	Protein of unknown function (DUF2772)
DUF2773	Protein of unknown function (DUF2773)
DUF2770	Protein of unknown function (DUF2770)
DUF2771	Protein of unknown function (DUF2771)
DUF2776	Protein of unknown function (DUF2776)
DUF2777	Protein of unknown function (DUF2777)
DUF2774	Protein of unknown function (DUF2774)
DUF2775	Protein of unknown function (DUF2775)
DUF3429	Protein of unknown function (DUF3429)
TRH	Thyrotropin-releasing hormone (TRH)
DUF3139	Protein of unknown function (DUF3139)
DUF3138	Protein of unknown function (DUF3138)
TRM	N2,N2-dimethylguanosine tRNA methyltransferase
HXXSHH	Protein of unknown function (DUF1552)
DUF3133	Protein of unknown function (DUF3133)
DUF3132	Protein of unknown function (DUF3132)
DUF3423	Protein of unknown function (DUF3423)
DUF3422	Protein of unknown function (DUF3422)
DUF3137	Protein of unknown function (DUF3137) 
DUF3136	Protein of unknown function (DUF3136)
DUF3135	Protein of unknown function (DUF3135)
DUF3134	Protein of unknown function (DUF3134)
TRP	Transient receptor potential (TRP) ion channel
GET2	GET complex subunit GET2
STAT2	Signal transducer and activator of transcription 2 C terminal
NADH5	NADH dehydrogenase subunit 5 C-terminus
YusW	YusW-like protein
HTS	Homoserine O-succinyltransferase 
FimP	Fms-interacting protein
Nuf2	Nuf2 family
Maff2	Maff2 family
IF4E	Eukaryotic initiation factor 4E
KRE9	Yeast cell wall synthesis protein KRE9/KNH1
PocR	Sensory domain found in PocR
Nbs1	DNA damage repair protein Nbs1
UEV	UEV domain
ELK	ELK domain 
ELH	Egg-laying hormone precursor    
ELO	GNS1/SUR4 family
ELL	RNA polymerase II elongation factor ELL  
ELF	ELF protein
NBP1	Fungal Nap binding protein NBP1
RDD	RDD family
SNF5	SNF5 / SMARCB1 / INI1
RDM	RFPL defining motif (RDM)
DUF1830	Domain of unknown function (DUF1830)
FlaE	Flagellar basal body protein FlaE
DUF1832	Domain of unknown function (DUF1832)
DUF1833	Domain of unknown function (DUF1833)
